Wall time,Step,Value
1717187819.324436,0,0.7427447438240051
1717187838.690653,1,0.7758808732032776
1717187856.293619,2,0.8267104029655457
1717187873.717622,3,0.8491875529289246
1717187894.027476,4,0.857610285282135
1717187919.076104,5,0.8611138463020325
1717187936.956684,6,0.8624969124794006
1717187954.021355,7,0.8634179830551147
1717187971.262866,8,0.8639419674873352
1717187987.777042,9,0.8641698360443115
1717188004.621308,10,0.8648282885551453
1717188024.151944,11,0.8651494383811951
1717188046.418038,12,0.8654505610466003
1717188064.391448,13,0.8654925227165222
1717188086.175999,14,0.8660477995872498
1717188103.914785,15,0.8664766550064087
1717188118.714957,16,0.8668482899665833
1717188135.697382,17,0.8671038150787354
1717188150.70166,18,0.8675550222396851
1717188166.720538,19,0.8678176403045654
1717188185.656449,20,0.8683121800422668
1717188202.445967,21,0.8683322668075562
1717188219.383081,22,0.8686588406562805
